station_complex_id,latitude,longitude,is_cbd
8,40.764811,-73.973347,1
9,40.764664,-73.980658,1
10,40.759901,-73.984139,1
13,40.745494,-73.988691,1
14,40.741303,-73.989344,1
16,40.730328,-73.992629,1
17,40.724329,-73.997702,1
20,40.713282,-74.006978,1
22,40.70722,-74.013342,1
103,40.72028,-73.993915,1
107,40.706476,-74.011056,1
118,40.732849,-73.986122,1
119,40.730953,-73.981628,1
143,40.868072,-73.919899,0
144,40.865491,-73.927271,0
145,40.859022,-73.93418,0
146,40.851695,-73.937969,0
147,40.847391,-73.939704,0
149,40.836013,-73.939892,0
150,40.830518,-73.941514,0
151,40.824783,-73.944216,0
152,40.817894,-73.947649,0
153,40.811109,-73.952343,0
154,40.805085,-73.954882,0
155,40.800603,-73.958161,0
156,40.796092,-73.961454,0
157,40.791642,-73.964696,0
158,40.785868,-73.968916,0
159,40.781433,-73.972143,0
160,40.775594,-73.97641,0
162,40.762456,-73.985984,1
164,40.752287,-73.993391,1
165,40.745906,-73.998041,1
167,40.732338,-74.000495,1
168,40.726227,-74.003739,1
169,40.720824,-74.005229,1
220,40.830135,-73.938209,0
222,40.759145,-73.95326,0
223,40.764629,-73.966113,0
224,40.763972,-73.97745,1
225,40.758663,-73.981329,1
228,40.742878,-73.992821,1
231,40.718267,-73.993753,1
232,40.723402,-73.989938,1
234,40.713715,-73.990173,1
276,40.760167,-73.975224,1
277,40.762862,-73.981637,1
296,40.874561,-73.909831,0
297,40.869444,-73.915279,0
298,40.864621,-73.918822,0
299,40.860531,-73.925536,0
300,40.855225,-73.929412,0
301,40.849505,-73.933596,0
303,40.834041,-73.94489,0
304,40.826551,-73.95036,0
305,40.822008,-73.953676,0
306,40.815581,-73.958372,0
307,40.807722,-73.96411,0
308,40.803967,-73.966847,0
309,40.799446,-73.968379,0
310,40.793919,-73.972323,0
311,40.788644,-73.976218,0
312,40.783934,-73.979917,0
313,40.778453,-73.98197,0
314,40.77344,-73.982209,0
316,40.761728,-73.983849,1
318,40.750373,-73.991057,1
319,40.747215,-73.993365,1
320,40.744081,-73.995657,1
321,40.74104,-73.997871,1
323,40.733422,-74.002906,1
324,40.728251,-74.005367,1
325,40.722854,-74.006277,1
326,40.719318,-74.006886,1
327,40.715478,-74.009266,1
328,40.711835,-74.012188,1
329,40.707513,-74.013783,1
333,40.706821,-74.0091,1
392,40.804138,-73.937594,0
393,40.798629,-73.941617,0
394,40.79502,-73.94425,0
395,40.7906,-73.947478,0
396,40.785672,-73.95107,0
397,40.779492,-73.955589,0
398,40.77362,-73.959874,0
399,40.768141,-73.96387,0
403,40.746081,-73.982076,1
404,40.74307,-73.984264,1
405,40.739864,-73.986599,1
407,40.730054,-73.99107,1
409,40.722301,-73.997141,1
413,40.707557,-74.011862,1
414,40.704817,-74.014065,1
436,40.82388,-73.93647,0
437,40.820421,-73.936245,0
438,40.814229,-73.94077,0
439,40.807754,-73.945495,0
440,40.802098,-73.949625,0
441,40.799075,-73.951822,0
471,40.755882,-74.00191,1
475,40.784318,-73.947152,0
476,40.777891,-73.951787,0
477,40.768799,-73.958424,0
601,40.737335,-73.996786,1
602,40.735736,-73.990568,1
605,40.840719,-73.939561,0
607,40.749567,-73.98795,1
609,40.754222,-73.984569,1
610,40.751776,-73.976848,1
611,40.754672,-73.986754,1
612,40.757552,-73.969055,1
613,40.76266,-73.967258,1
614,40.768296,-73.981736,1
618,40.739777,-74.002578,1
619,40.725297,-73.996204,1
622,40.713243,-74.003401,1
623,40.719527,-74.001775,1
624,40.710668,-74.011029,1
625,40.718315,-73.987437,1
628,40.710374,-74.007582,1
635,40.703087,-74.012994,1
